hour,minute,weekday,foreground,activity,screen_active,call_active,music_active,ring_mode,location,class
0,0,1,0,1,0,0,0,1,1,0
0,0,1,0,1,0,0,0,1,1,0
0,0,1,0,1,0,0,0,1,1,0
0,0,1,0,1,0,0,0,1,1,0
0,0,1,0,1,0,0,0,1,1,0
0,0,1,0,1,0,0,0,1,1,0
0,1,1,0,1,0,0,0,1,1,0
0,1,1,0,1,0,0,0,1,1,0
0,1,1,0,1,0,0,0,1,1,0
0,1,1,0,1,0,0,0,1,1,0
0,1,1,0,1,0,0,0,1,1,0
0,1,1,0,1,0,0,0,1,1,0
0,2,1,0,1,0,0,0,1,1,0
0,2,1,0,1,0,0,0,1,1,0
0,2,1,0,1,0,0,0,1,1,0
0,2,1,0,1,0,0,0,1,1,0
0,2,1,0,1,0,0,0,1,1,0
0,2,1,0,1,0,0,0,1,1,0
0,3,1,0,1,0,0,0,1,1,0
0,3,1,0,1,0,0,0,1,1,0
0,3,1,0,1,0,0,0,1,1,0
0,3,1,0,1,0,0,0,1,1,0
0,3,1,0,1,0,0,0,1,1,0
0,3,1,0,1,0,0,0,1,1,0
0,4,1,0,1,0,0,0,1,1,0
0,4,1,0,1,0,0,0,1,1,0
0,4,1,0,1,0,0,0,1,1,0
0,4,1,0,1,0,0,0,1,1,0
0,4,1,0,1,0,0,0,1,1,0
0,4,1,0,1,0,0,0,1,1,0
0,5,1,0,1,0,0,0,1,1,0
0,5,1,0,1,0,0,0,1,1,0
0,5,1,0,1,0,0,0,1,1,0
0,5,1,0,1,0,0,0,1,1,0
0,5,1,0,1,0,0,0,1,1,0
0,5,1,0,1,0,0,0,1,1,0
0,6,1,0,1,0,0,0,1,1,0
0,6,1,0,1,0,0,0,1,1,0
0,6,1,0,1,0,0,0,1,1,0
0,6,1,0,1,0,0,0,1,1,0
0,6,1,0,1,0,0,0,1,1,0
0,6,1,0,1,0,0,0,1,1,0
0,7,1,0,1,0,0,0,1,1,0
0,7,1,0,1,0,0,0,1,1,0
0,7,1,0,1,0,0,0,1,1,0
0,7,1,0,1,0,0,0,1,1,0
0,7,1,0,1,0,0,0,1,1,0
0,7,1,0,1,0,0,0,1,1,0
0,8,1,0,1,0,0,0,1,1,0
0,8,1,0,1,0,0,0,1,1,0
0,8,1,0,1,0,0,0,1,1,0
0,8,1,0,1,0,0,0,1,1,0
0,8,1,0,1,0,0,0,1,1,0
0,8,1,0,1,0,0,0,1,1,0
0,9,1,0,1,0,0,0,1,1,0
0,9,1,0,1,0,0,0,1,1,0
0,9,1,0,1,0,0,0,1,1,0
0,9,1,0,1,0,0,0,1,1,0
